province,x,y
Aceh,-550,231
Sumatra Utara,-497,176
Sumatra Barat,-469,42
Riau,-421,-70
Kepulauan Riau,-358,103
Jambi,-414,14
Bengkulu,-449,-54
Sumatra Selatan,-370,-55
Kepulauan Belitung,-311,-3
Lampung,-352,-96
Banten,-326,-158
Jakarta,-291,-137
Jawa Barat,-291,-166
Jawa Tengah,-233,-174
Yogyakarta,-211,-200
Jawa Timur,-165,-179
Bali,-89,-212
Ntb,-36,-219
Ntt,111,-243
Kalimantan Barat,-223,83
Kalimantan Tengah,-176,1
Kalimantan Selatan,-90,-32
Kalimantan Timur,-87,88
Kalimantan Utara,-78,156
Sulawesi Utara,147,119
Gorontalo,82,89
Sulawesi Tengah,52,38
Sulawesi Barat,22,-27
Sulawesi Selatan,5,-72
Sulawesi Tenggara,103,-79
Maluku Utara,208,75
Maluku,213,-32
Papua Barat,368,14
Papua,500,-68
